audio_id,filename,original_filename,class_label,source,license,duration,sample_rate,channels,original_sample_rate,original_channels,environment,device,distance_m,is_augmented,parent_audio_id,augmentation,split,quality,sha256,path
AUD-000014,AUD-000014.wav,mimii_mimii_00000013.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Good,87f15be81e14dc8d088b2eeb80378ef75d052ea9b388cd48dbe9de4f085b296b,audio_dataset/processed/train/Machinery Fault/AUD-000014.wav
AUD-000015,AUD-000015.wav,mimii_mimii_00000014.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Good,dd9ef8d5586617170a1c88585f55eaed814ff4f0fdc9bdbbb69dd9afe2b055f5,audio_dataset/processed/train/Machinery Fault/AUD-000015.wav
AUD-000016,AUD-000016.wav,mimii_mimii_00000015.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Good,3fcb6072ad173594d1dcc6e162e3d1d26712b4eb4446e921663e00241e6ec6ff,audio_dataset/processed/train/Machinery Fault/AUD-000016.wav
AUD-000017,AUD-000017.wav,mimii_mimii_00000016.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Good,9d7b6857e85feaca6984e14290e85401410fcbe5919a9c2ea650b239accdae6e,audio_dataset/processed/train/Machinery Fault/AUD-000017.wav
AUD-000018,AUD-000018.wav,mimii_mimii_00000017.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Good,9ae52c05cf1f8b234e0f6546a0b50f7e85e3f04e56760d0543eb592ecae33ed2,audio_dataset/processed/train/Machinery Fault/AUD-000018.wav
AUD-000019,AUD-000019.wav,mimii_mimii_00000018.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Good,3808b862c396fd48316d6ffaf952e73f1372f6308021ea9808ce30c3d676bea8,audio_dataset/processed/train/Machinery Fault/AUD-000019.wav
AUD-000020,AUD-000020.wav,mimii_mimii_00000019.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Good,f8583a432d08da9a4f56fd899832764e4fa912fe64eed463020ac043a5df1658,audio_dataset/processed/train/Machinery Fault/AUD-000020.wav
AUD-000021,AUD-000021.wav,mimii_mimii_00000020.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Good,6d8190519b96f66790e8067508ce5640359bae34b80379d52b82e6b70050f4a3,audio_dataset/processed/train/Machinery Fault/AUD-000021.wav
AUD-000022,AUD-000022.wav,mimii_mimii_00000021.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Good,c3f4ea7d5d7513d376421a62c5ad9693aa1863f35852ee4e7f08d027d40d95a4,audio_dataset/processed/train/Machinery Fault/AUD-000022.wav
AUD-000023,AUD-000023.wav,mimii_mimii_00000022.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Good,8a8b7a51c48ee4e8fac86772ec8bfee305ba41af3497b85b46a3ce4ec5a3ae87,audio_dataset/processed/train/Machinery Fault/AUD-000023.wav
AUD-000024,AUD-000024.wav,mimii_mimii_00000023.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Good,0a25ff6a4de45fd0c73b94313134c9d61c72b01e065de68dfcdc282c53aec99a,audio_dataset/processed/train/Machinery Fault/AUD-000024.wav
AUD-000025,AUD-000025.wav,mimii_mimii_00000024.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,test,Good,cf17785e2c0d71908fc6248f6fadb15ecd7c23c4649824abac1d09537d9842f1,audio_dataset/processed/test/Machinery Fault/AUD-000025.wav
AUD-000026,AUD-000026.wav,mimii_mimii_00000025.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Good,a35f393cf96c6e8a94d106a31a59f6ed8378a07a930d76bafee460d168cba6c4,audio_dataset/processed/train/Machinery Fault/AUD-000026.wav
AUD-000027,AUD-000027.wav,mimii_mimii_00000026.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,15e555a2bba37884b7b10fd3a1758fe0ff1c8d7eb303bd5c21f605262a40dde6,audio_dataset/processed/train/Machinery Fault/AUD-000027.wav
AUD-000028,AUD-000028.wav,mimii_mimii_00000027.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,val,Acceptable,b9ac87a373c38ac2e4989b1c96f78a60d3c85b0595b9ad955cb49fa1888aa34d,audio_dataset/processed/val/Machinery Fault/AUD-000028.wav
AUD-000029,AUD-000029.wav,mimii_mimii_00000028.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,e86662684e5cad2335ca1955482368cb8e3c6e5a086635cf834d4a94fe586aa5,audio_dataset/processed/train/Machinery Fault/AUD-000029.wav
AUD-000030,AUD-000030.wav,mimii_mimii_00000029.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,8eca8420bd812b884fa6877787f8f0f9fc10a0b85fee6aa6356f921766753c54,audio_dataset/processed/train/Machinery Fault/AUD-000030.wav
AUD-000031,AUD-000031.wav,mimii_mimii_00000030.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,af38299871bf24e66c9c8abe73a852f0e6de92dc20998f23f92dde8e95c1d62c,audio_dataset/processed/train/Machinery Fault/AUD-000031.wav
AUD-000032,AUD-000032.wav,mimii_mimii_00000031.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,d88a6668c12d19dbc074e6939ebd7f891d3e1109c5dd8272de74a46cae44fa9d,audio_dataset/processed/train/Machinery Fault/AUD-000032.wav
AUD-000033,AUD-000033.wav,mimii_mimii_00000032.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,c6e5aa49b2d8be00cb743fb47a3b6207a5765faa558da1e23519a8b4b8c781bc,audio_dataset/processed/train/Machinery Fault/AUD-000033.wav
AUD-000034,AUD-000034.wav,mimii_mimii_00000033.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,5ae05a35b92fa47ddc9be3f3d8adc9f8e6959342eba0a30b60387550d3e3488c,audio_dataset/processed/train/Machinery Fault/AUD-000034.wav
AUD-000035,AUD-000035.wav,mimii_mimii_00000034.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,470170f851a4c2cfe0cca69a2cecd675e35cafd57ed42bb21422fd158e8e5ae2,audio_dataset/processed/train/Machinery Fault/AUD-000035.wav
AUD-000036,AUD-000036.wav,mimii_mimii_00000035.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,ad396b107ccaee490158286455ed4e2478b18446b4a7932042d569f521ed19b6,audio_dataset/processed/train/Machinery Fault/AUD-000036.wav
AUD-000037,AUD-000037.wav,mimii_mimii_00000036.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,093c80396d4b669104ab0cb146b74f14f89ef351dde06f7834e1097d70b679bb,audio_dataset/processed/train/Machinery Fault/AUD-000037.wav
AUD-000038,AUD-000038.wav,mimii_mimii_00000037.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,test,Acceptable,d138fac7626738ee20a9a9092eb16924ccc9529b8741de178db6a4a93b53e3b0,audio_dataset/processed/test/Machinery Fault/AUD-000038.wav
AUD-000039,AUD-000039.wav,mimii_mimii_00000038.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,88943243f058e866b753f1e96f0f9d52759aae8f8a54a6f4520abb704ed8627f,audio_dataset/processed/train/Machinery Fault/AUD-000039.wav
AUD-000040,AUD-000040.wav,mimii_mimii_00000039.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,739f8e9ea6e491e561d00c0fa5ca972cb5c3cc2de03b9992b158a601a0206233,audio_dataset/processed/train/Machinery Fault/AUD-000040.wav
AUD-000041,AUD-000041.wav,mimii_mimii_00000040.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,d7a126bb21cb4f148543405c07012076629df33e16635b065f13ac07b5c8f33a,audio_dataset/processed/train/Machinery Fault/AUD-000041.wav
AUD-000042,AUD-000042.wav,mimii_mimii_00000041.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,test,Acceptable,b34e5229b307d430d82b41b868fb9f28b0bdfbbee50a9ca9bda8655b89cc57d8,audio_dataset/processed/test/Machinery Fault/AUD-000042.wav
AUD-000043,AUD-000043.wav,mimii_mimii_00000042.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,7eb40abf0806604c3c4fb1046f4a11b447d8b577324d9c17f3ab69dac48f697a,audio_dataset/processed/train/Machinery Fault/AUD-000043.wav
AUD-000044,AUD-000044.wav,mimii_mimii_00000043.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,val,Acceptable,909835b3553d640357e22f4f80076204dc35920fe772428da20524c22c5c2051,audio_dataset/processed/val/Machinery Fault/AUD-000044.wav
AUD-000045,AUD-000045.wav,mimii_mimii_00000044.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,25881f9667572cb001513d66559aefbdc7ebc0756b8664d20f98ad2839f619ce,audio_dataset/processed/train/Machinery Fault/AUD-000045.wav
AUD-000046,AUD-000046.wav,mimii_mimii_00000045.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,dda7dc9164a25605771c480d31e7c561e7bd3faa87ddb78f4e7f53594f307cfe,audio_dataset/processed/train/Machinery Fault/AUD-000046.wav
AUD-000047,AUD-000047.wav,mimii_mimii_00000046.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,417c539d4de0f20c9a80c967468941fb90602a4cc13e93b9fd9c83454d17f961,audio_dataset/processed/train/Machinery Fault/AUD-000047.wav
AUD-000048,AUD-000048.wav,mimii_mimii_00000047.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,c7aca3246fe89f42f53ad6e6ef444a2811455851cbf3cadfcd9c95a1de53b06e,audio_dataset/processed/train/Machinery Fault/AUD-000048.wav
AUD-000049,AUD-000049.wav,mimii_mimii_00000048.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,79918d55e0eeff89d135b5f4a759121d13678ec973e958f30c2ebf0a891150f5,audio_dataset/processed/train/Machinery Fault/AUD-000049.wav
AUD-000050,AUD-000050.wav,mimii_mimii_00000049.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,a193f695e0ef5e173acda28c26fdea9fd313ece3aba4d5622b6c94c760e436c5,audio_dataset/processed/train/Machinery Fault/AUD-000050.wav
AUD-000051,AUD-000051.wav,mimii_mimii_00000050.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,a54738b4497d81c3a2562ce048e7120e32e20275785342ca2369c42c7f0634a7,audio_dataset/processed/train/Machinery Fault/AUD-000051.wav
AUD-000052,AUD-000052.wav,mimii_mimii_00000051.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,98f16e9d8e69b8d9779a49d78a0a357a38bd543cfa43994ebb05011881840c5b,audio_dataset/processed/train/Machinery Fault/AUD-000052.wav
AUD-000053,AUD-000053.wav,mimii_mimii_00000052.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,test,Acceptable,cbed764a5c2ff825dae0269f274ae644f119c1478c68176889886d115e26c134,audio_dataset/processed/test/Machinery Fault/AUD-000053.wav
AUD-000054,AUD-000054.wav,mimii_mimii_00000053.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,bd6587a6576796e703db8bc42a9546c868e26f7f7e67b0e51d1a1884e5558bc5,audio_dataset/processed/train/Machinery Fault/AUD-000054.wav
AUD-000055,AUD-000055.wav,mimii_mimii_00000054.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,04833434ba9e35d5fd5d8027e8a060cf7fa74b7a2a0359e6b1968e949bf96be4,audio_dataset/processed/train/Machinery Fault/AUD-000055.wav
AUD-000056,AUD-000056.wav,mimii_mimii_00000055.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,val,Acceptable,ec29cd1bfbe0a772decd050fce74ecf437f3c0d433feda2cef05b25842dec657,audio_dataset/processed/val/Machinery Fault/AUD-000056.wav
AUD-000057,AUD-000057.wav,mimii_mimii_00000056.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Good,0e9709432dc80de56206e8db1c0e7e29d42329310208aec04b42738d661db8f0,audio_dataset/processed/train/Machinery Fault/AUD-000057.wav
AUD-000058,AUD-000058.wav,mimii_mimii_00000057.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,test,Acceptable,14ce06dfcd25181da2d0c7a3285c310ea051bd8656a7453e6ec4f7d1ca334f56,audio_dataset/processed/test/Machinery Fault/AUD-000058.wav
AUD-000059,AUD-000059.wav,mimii_mimii_00000058.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,254fe0a184961584d10e435e8dbb7b3fb62abab5d0731b5413e63cabaf4854ac,audio_dataset/processed/train/Machinery Fault/AUD-000059.wav
AUD-000060,AUD-000060.wav,mimii_mimii_00000059.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,8f67b2e8997bd81236a95d64bd48067e8be14907af7e84c2b47dc8a62c5fb884,audio_dataset/processed/train/Machinery Fault/AUD-000060.wav
AUD-000061,AUD-000061.wav,mimii_mimii_00000060.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,5d91211ea462b599656f4a21e40266c802afe51b31b9600dafd263b1a5785cf3,audio_dataset/processed/train/Machinery Fault/AUD-000061.wav
AUD-000062,AUD-000062.wav,mimii_mimii_00000061.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,a81689b980953d6527686db4b619b756e86dc8b668013796724217cf2af1f620,audio_dataset/processed/train/Machinery Fault/AUD-000062.wav
AUD-000063,AUD-000063.wav,mimii_mimii_00000062.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,test,Acceptable,ffc3a43092e8092d31b459ee5284aaf60d783cedae0da0cc222b7c8cfb290158,audio_dataset/processed/test/Machinery Fault/AUD-000063.wav
AUD-000064,AUD-000064.wav,mimii_mimii_00000063.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,1a18d8efc6961cfc4c5fa4678ce4372b1717dfc9010b742175ac787f3b39cd0c,audio_dataset/processed/train/Machinery Fault/AUD-000064.wav
AUD-000065,AUD-000065.wav,mimii_mimii_00000064.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,5328d0c65cd201f0f0cfa53f7efd6f2f8749cd48f9f0d97f129ce32a65ed9a4a,audio_dataset/processed/train/Machinery Fault/AUD-000065.wav
AUD-000066,AUD-000066.wav,mimii_mimii_00000065.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,936b50eda1bdd176a0fca63424f50acc055ad291b35172591c6a5d528b714002,audio_dataset/processed/train/Machinery Fault/AUD-000066.wav
AUD-000067,AUD-000067.wav,mimii_mimii_00000066.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,test,Acceptable,6739550dc0ca10f839362bee7e22646e6236445e01c022f20f2356e573ad948c,audio_dataset/processed/test/Machinery Fault/AUD-000067.wav
AUD-000068,AUD-000068.wav,mimii_mimii_00000067.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,val,Acceptable,9e396c0ffecbb4a85d76e8bcce6565aa4e06d66725b7be49d96990c9b57db506,audio_dataset/processed/val/Machinery Fault/AUD-000068.wav
AUD-000069,AUD-000069.wav,mimii_mimii_00000068.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,a6c3c6b3ea21186241432527a084868c8b8a762110911ed491dfdea1b196d4e0,audio_dataset/processed/train/Machinery Fault/AUD-000069.wav
AUD-000070,AUD-000070.wav,mimii_mimii_00000069.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,0cdc3e6323efeceacc86384abda7eeacf6768343ca784f45d12439343c2b3aa3,audio_dataset/processed/train/Machinery Fault/AUD-000070.wav
AUD-000071,AUD-000071.wav,mimii_mimii_00000070.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,36f632423122cdc47983aacb018aabf629fa27c2c1c27b83cdb9c37a4ff6ce1b,audio_dataset/processed/train/Machinery Fault/AUD-000071.wav
AUD-000072,AUD-000072.wav,mimii_mimii_00000071.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,val,Acceptable,6fb5fe718ece4748148335fc17a15966497a1f6819ea2510b09be32760fe8ea2,audio_dataset/processed/val/Machinery Fault/AUD-000072.wav
AUD-000073,AUD-000073.wav,mimii_mimii_00000072.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,val,Acceptable,98d3911f1833f59e47b8285696444fc4e4a63612cf13d20b72cc0934fbbfde6d,audio_dataset/processed/val/Machinery Fault/AUD-000073.wav
AUD-000074,AUD-000074.wav,mimii_mimii_00000073.wav,Machinery Fault,MIMII:mimii:abnormal,CC BY-SA 4.0 (MIMII dataset),10.0,44100.0,1.0,16000,8,factory,unknown,,0,,,train,Acceptable,fbda71f004252faed849d9fb7194a7834bcea1b468516d99175e6b191456ade8,audio_dataset/processed/train/Machinery Fault/AUD-000074.wav
